VCD info: dumpfile rca.vcd opened for output.
  A   B  Cin | Cout  Sum  (= expected)
 0 +  0 + 0 -> {0,0000} =  0
 6 +  3 + 0 -> {0,1001} =  9
 6 +  3 + 1 -> {0,1010} = 10
 6 +  4 + 0 -> {0,1010} = 10
 6 +  4 + 1 -> {0,1011} = 11
 6 +  5 + 0 -> {0,1011} = 11
 6 +  5 + 1 -> {0,1100} = 12
 6 +  6 + 0 -> {0,1100} = 12
 6 +  6 + 1 -> {0,1101} = 13
 6 +  7 + 0 -> {0,1101} = 13
 6 +  7 + 1 -> {0,1110} = 14
 6 +  8 + 0 -> {0,1110} = 14
 6 +  8 + 1 -> {0,1111} = 15
 6 +  9 + 0 -> {0,1111} = 15
 6 +  9 + 1 -> {1,0000} = 16
 6 + 10 + 0 -> {1,0000} = 16
 6 + 10 + 1 -> {1,0001} = 17
 6 + 11 + 0 -> {1,0001} = 17
 6 + 11 + 1 -> {1,0010} = 18
 6 + 12 + 0 -> {1,0010} = 18
 6 + 12 + 1 -> {1,0011} = 19
 6 + 13 + 0 -> {1,0011} = 19
 6 + 13 + 1 -> {1,0100} = 20
 6 + 14 + 0 -> {1,0100} = 20
 6 + 14 + 1 -> {1,0101} = 21
 6 + 15 + 0 -> {1,0101} = 21
 6 + 15 + 1 -> {1,0110} = 22
 7 +  0 + 0 -> {0,0111} =  7
 7 +  0 + 1 -> {0,1000} =  8
 7 +  1 + 0 -> {0,1000} =  8
 7 +  1 + 1 -> {0,1001} =  9
 7 +  2 + 0 -> {0,1001} =  9
 7 +  2 + 1 -> {0,1010} = 10
 7 +  3 + 0 -> {0,1010} = 10
 7 +  3 + 1 -> {0,1011} = 11
 7 +  4 + 0 -> {0,1011} = 11
 7 +  4 + 1 -> {0,1100} = 12
 7 +  5 + 0 -> {0,1100} = 12
 7 +  5 + 1 -> {0,1101} = 13
 7 +  6 + 0 -> {0,1101} = 13
 7 +  6 + 1 -> {0,1110} = 14
 7 +  7 + 0 -> {0,1110} = 14
 7 +  7 + 1 -> {0,1111} = 15
 7 +  8 + 0 -> {0,1111} = 15
 7 +  8 + 1 -> {1,0000} = 16
 7 +  9 + 0 -> {1,0000} = 16
 7 +  9 + 1 -> {1,0001} = 17
 7 + 10 + 0 -> {1,0001} = 17
 7 + 10 + 1 -> {1,0010} = 18
 7 + 11 + 0 -> {1,0010} = 18
 7 + 11 + 1 -> {1,0011} = 19
 7 + 12 + 0 -> {1,0011} = 19
 7 + 12 + 1 -> {1,0100} = 20
 7 + 13 + 0 -> {1,0100} = 20
 7 + 13 + 1 -> {1,0101} = 21
 7 + 14 + 0 -> {1,0101} = 21
 7 + 14 + 1 -> {1,0110} = 22
 7 + 15 + 0 -> {1,0110} = 22
 7 + 15 + 1 -> {1,0111} = 23
 8 +  0 + 0 -> {0,1000} =  8
 8 +  0 + 1 -> {0,1001} =  9
 8 +  1 + 0 -> {0,1001} =  9
 8 +  1 + 1 -> {0,1010} = 10
 8 +  2 + 0 -> {0,1010} = 10
 8 +  2 + 1 -> {0,1011} = 11
 8 +  3 + 0 -> {0,1011} = 11
 8 +  3 + 1 -> {0,1100} = 12
 8 +  4 + 0 -> {0,1100} = 12
 8 +  4 + 1 -> {0,1101} = 13
 8 +  5 + 0 -> {0,1101} = 13
 8 +  5 + 1 -> {0,1110} = 14
 8 +  6 + 0 -> {0,1110} = 14
 8 +  6 + 1 -> {0,1111} = 15
 8 +  7 + 0 -> {0,1111} = 15
 8 +  7 + 1 -> {1,0000} = 16
 8 +  8 + 0 -> {1,0000} = 16
 8 +  8 + 1 -> {1,0001} = 17
 8 +  9 + 0 -> {1,0001} = 17
 8 +  9 + 1 -> {1,0010} = 18
 8 + 10 + 0 -> {1,0010} = 18
 8 + 10 + 1 -> {1,0011} = 19
 8 + 11 + 0 -> {1,0011} = 19
 8 + 11 + 1 -> {1,0100} = 20
 8 + 12 + 0 -> {1,0100} = 20
 8 + 12 + 1 -> {1,0101} = 21
 8 + 13 + 0 -> {1,0101} = 21
 8 + 13 + 1 -> {1,0110} = 22
 8 + 14 + 0 -> {1,0110} = 22
 8 + 14 + 1 -> {1,0111} = 23
 8 + 15 + 0 -> {1,0111} = 23
 8 + 15 + 1 -> {1,1000} = 24
 9 +  0 + 0 -> {0,1001} =  9
 9 +  0 + 1 -> {0,1010} = 10
 9 +  1 + 0 -> {0,1010} = 10
 9 +  1 + 1 -> {0,1011} = 11
 9 +  2 + 0 -> {0,1011} = 11
 9 +  2 + 1 -> {0,1100} = 12
 9 +  3 + 0 -> {0,1100} = 12
 9 +  3 + 1 -> {0,1101} = 13
 9 +  4 + 0 -> {0,1101} = 13
 9 +  4 + 1 -> {0,1110} = 14
 9 +  5 + 0 -> {0,1110} = 14
 9 +  5 + 1 -> {0,1111} = 15
 9 +  6 + 0 -> {0,1111} = 15
 9 +  6 + 1 -> {1,0000} = 16
 9 +  7 + 0 -> {1,0000} = 16
 9 +  7 + 1 -> {1,0001} = 17
 9 +  8 + 0 -> {1,0001} = 17
 9 +  8 + 1 -> {1,0010} = 18
 9 +  9 + 0 -> {1,0010} = 18
 9 +  9 + 1 -> {1,0011} = 19
 9 + 10 + 0 -> {1,0011} = 19
 9 + 10 + 1 -> {1,0100} = 20
 9 + 11 + 0 -> {1,0100} = 20
 9 + 11 + 1 -> {1,0101} = 21
 9 + 12 + 0 -> {1,0101} = 21
 9 + 12 + 1 -> {1,0110} = 22
 9 + 13 + 0 -> {1,0110} = 22
 9 + 13 + 1 -> {1,0111} = 23
 9 + 14 + 0 -> {1,0111} = 23
 9 + 14 + 1 -> {1,1000} = 24
 9 + 15 + 0 -> {1,1000} = 24
 9 + 15 + 1 -> {1,1001} = 25
10 +  0 + 0 -> {0,1010} = 10
10 +  0 + 1 -> {0,1011} = 11
10 +  1 + 0 -> {0,1011} = 11
10 +  1 + 1 -> {0,1100} = 12
10 +  2 + 0 -> {0,1100} = 12
10 +  2 + 1 -> {0,1101} = 13
10 +  3 + 0 -> {0,1101} = 13
10 +  3 + 1 -> {0,1110} = 14
10 +  4 + 0 -> {0,1110} = 14
10 +  4 + 1 -> {0,1111} = 15
10 +  5 + 0 -> {0,1111} = 15
10 +  5 + 1 -> {1,0000} = 16
10 +  6 + 0 -> {1,0000} = 16
10 +  6 + 1 -> {1,0001} = 17
10 +  7 + 0 -> {1,0001} = 17
10 +  7 + 1 -> {1,0010} = 18
10 +  8 + 0 -> {1,0010} = 18
10 +  8 + 1 -> {1,0011} = 19
10 +  9 + 0 -> {1,0011} = 19
10 +  9 + 1 -> {1,0100} = 20
10 + 10 + 0 -> {1,0100} = 20
10 + 10 + 1 -> {1,0101} = 21
10 + 11 + 0 -> {1,0101} = 21
10 + 11 + 1 -> {1,0110} = 22
10 + 12 + 0 -> {1,0110} = 22
10 + 12 + 1 -> {1,0111} = 23
10 + 13 + 0 -> {1,0111} = 23
10 + 13 + 1 -> {1,1000} = 24
10 + 14 + 0 -> {1,1000} = 24
10 + 14 + 1 -> {1,1001} = 25
10 + 15 + 0 -> {1,1001} = 25
10 + 15 + 1 -> {1,1010} = 26
11 +  0 + 0 -> {0,1011} = 11
11 +  0 + 1 -> {0,1100} = 12
11 +  1 + 0 -> {0,1100} = 12
11 +  1 + 1 -> {0,1101} = 13
11 +  2 + 0 -> {0,1101} = 13
11 +  2 + 1 -> {0,1110} = 14
11 +  3 + 0 -> {0,1110} = 14
11 +  3 + 1 -> {0,1111} = 15
11 +  4 + 0 -> {0,1111} = 15
11 +  4 + 1 -> {1,0000} = 16
11 +  5 + 0 -> {1,0000} = 16
11 +  5 + 1 -> {1,0001} = 17
11 +  6 + 0 -> {1,0001} = 17
11 +  6 + 1 -> {1,0010} = 18
11 +  7 + 0 -> {1,0010} = 18
11 +  7 + 1 -> {1,0011} = 19
11 +  8 + 0 -> {1,0011} = 19
11 +  8 + 1 -> {1,0100} = 20
11 +  9 + 0 -> {1,0100} = 20
11 +  9 + 1 -> {1,0101} = 21
11 + 10 + 0 -> {1,0101} = 21
11 + 10 + 1 -> {1,0110} = 22
11 + 11 + 0 -> {1,0110} = 22
11 + 11 + 1 -> {1,0111} = 23
11 + 12 + 0 -> {1,0111} = 23
11 + 12 + 1 -> {1,1000} = 24
11 + 13 + 0 -> {1,1000} = 24
11 + 13 + 1 -> {1,1001} = 25
11 + 14 + 0 -> {1,1001} = 25
11 + 14 + 1 -> {1,1010} = 26
11 + 15 + 0 -> {1,1010} = 26
11 + 15 + 1 -> {1,1011} = 27
12 +  0 + 0 -> {0,1100} = 12
12 +  0 + 1 -> {0,1101} = 13
12 +  1 + 0 -> {0,1101} = 13
12 +  1 + 1 -> {0,1110} = 14
12 +  2 + 0 -> {0,1110} = 14
12 +  2 + 1 -> {0,1111} = 15
12 +  3 + 0 -> {0,1111} = 15
12 +  3 + 1 -> {1,0000} = 16
12 +  4 + 0 -> {1,0000} = 16
12 +  4 + 1 -> {1,0001} = 17
12 +  5 + 0 -> {1,0001} = 17
12 +  5 + 1 -> {1,0010} = 18
12 +  6 + 0 -> {1,0010} = 18
12 +  6 + 1 -> {1,0011} = 19
12 +  7 + 0 -> {1,0011} = 19
12 +  7 + 1 -> {1,0100} = 20
12 +  8 + 0 -> {1,0100} = 20
12 +  8 + 1 -> {1,0101} = 21
12 +  9 + 0 -> {1,0101} = 21
12 +  9 + 1 -> {1,0110} = 22
12 + 10 + 0 -> {1,0110} = 22
12 + 10 + 1 -> {1,0111} = 23
12 + 11 + 0 -> {1,0111} = 23
12 + 11 + 1 -> {1,1000} = 24
12 + 12 + 0 -> {1,1000} = 24
12 + 12 + 1 -> {1,1001} = 25
12 + 13 + 0 -> {1,1001} = 25
12 + 13 + 1 -> {1,1010} = 26
12 + 14 + 0 -> {1,1010} = 26
12 + 14 + 1 -> {1,1011} = 27
12 + 15 + 0 -> {1,1011} = 27
12 + 15 + 1 -> {1,1100} = 28
13 +  0 + 0 -> {0,1101} = 13
13 +  0 + 1 -> {0,1110} = 14
13 +  1 + 0 -> {0,1110} = 14
13 +  1 + 1 -> {0,1111} = 15
13 +  2 + 0 -> {0,1111} = 15
13 +  2 + 1 -> {1,0000} = 16
13 +  3 + 0 -> {1,0000} = 16
13 +  3 + 1 -> {1,0001} = 17
13 +  4 + 0 -> {1,0001} = 17
13 +  4 + 1 -> {1,0010} = 18
13 +  5 + 0 -> {1,0010} = 18
13 +  5 + 1 -> {1,0011} = 19
13 +  6 + 0 -> {1,0011} = 19
13 +  6 + 1 -> {1,0100} = 20
13 +  7 + 0 -> {1,0100} = 20
13 +  7 + 1 -> {1,0101} = 21
13 +  8 + 0 -> {1,0101} = 21
13 +  8 + 1 -> {1,0110} = 22
13 +  9 + 0 -> {1,0110} = 22
13 +  9 + 1 -> {1,0111} = 23
13 + 10 + 0 -> {1,0111} = 23
13 + 10 + 1 -> {1,1000} = 24
13 + 11 + 0 -> {1,1000} = 24
13 + 11 + 1 -> {1,1001} = 25
13 + 12 + 0 -> {1,1001} = 25
13 + 12 + 1 -> {1,1010} = 26
13 + 13 + 0 -> {1,1010} = 26
13 + 13 + 1 -> {1,1011} = 27
13 + 14 + 0 -> {1,1011} = 27
13 + 14 + 1 -> {1,1100} = 28
13 + 15 + 0 -> {1,1100} = 28
13 + 15 + 1 -> {1,1101} = 29
14 +  0 + 0 -> {0,1110} = 14
14 +  0 + 1 -> {0,1111} = 15
14 +  1 + 0 -> {0,1111} = 15
14 +  1 + 1 -> {1,0000} = 16
14 +  2 + 0 -> {1,0000} = 16
14 +  2 + 1 -> {1,0001} = 17
14 +  3 + 0 -> {1,0001} = 17
14 +  3 + 1 -> {1,0010} = 18
14 +  4 + 0 -> {1,0010} = 18
14 +  4 + 1 -> {1,0011} = 19
14 +  5 + 0 -> {1,0011} = 19
14 +  5 + 1 -> {1,0100} = 20
14 +  6 + 0 -> {1,0100} = 20
14 +  6 + 1 -> {1,0101} = 21
14 +  7 + 0 -> {1,0101} = 21
14 +  7 + 1 -> {1,0110} = 22
14 +  8 + 0 -> {1,0110} = 22
14 +  8 + 1 -> {1,0111} = 23
14 +  9 + 0 -> {1,0111} = 23
14 +  9 + 1 -> {1,1000} = 24
14 + 10 + 0 -> {1,1000} = 24
14 + 10 + 1 -> {1,1001} = 25
14 + 11 + 0 -> {1,1001} = 25
14 + 11 + 1 -> {1,1010} = 26
14 + 12 + 0 -> {1,1010} = 26
14 + 12 + 1 -> {1,1011} = 27
14 + 13 + 0 -> {1,1011} = 27
14 + 13 + 1 -> {1,1100} = 28
14 + 14 + 0 -> {1,1100} = 28
14 + 14 + 1 -> {1,1101} = 29
14 + 15 + 0 -> {1,1101} = 29
14 + 15 + 1 -> {1,1110} = 30
15 +  0 + 0 -> {0,1111} = 15
15 +  0 + 1 -> {1,0000} = 16
15 +  1 + 0 -> {1,0000} = 16
15 +  1 + 1 -> {1,0001} = 17
15 +  2 + 0 -> {1,0001} = 17
15 +  2 + 1 -> {1,0010} = 18
15 +  3 + 0 -> {1,0010} = 18
15 +  3 + 1 -> {1,0011} = 19
15 +  4 + 0 -> {1,0011} = 19
15 +  4 + 1 -> {1,0100} = 20
15 +  5 + 0 -> {1,0100} = 20
15 +  5 + 1 -> {1,0101} = 21
15 +  6 + 0 -> {1,0101} = 21
15 +  6 + 1 -> {1,0110} = 22
15 +  7 + 0 -> {1,0110} = 22
15 +  7 + 1 -> {1,0111} = 23
15 +  8 + 0 -> {1,0111} = 23
15 +  8 + 1 -> {1,1000} = 24
15 +  9 + 0 -> {1,1000} = 24
15 +  9 + 1 -> {1,1001} = 25
15 + 10 + 0 -> {1,1001} = 25
15 + 10 + 1 -> {1,1010} = 26
15 + 11 + 0 -> {1,1010} = 26
15 + 11 + 1 -> {1,1011} = 27
15 + 12 + 0 -> {1,1011} = 27
15 + 12 + 1 -> {1,1100} = 28
15 + 13 + 0 -> {1,1100} = 28
15 + 13 + 1 -> {1,1101} = 29
15 + 14 + 0 -> {1,1101} = 29
15 + 14 + 1 -> {1,1110} = 30
15 + 15 + 0 -> {1,1110} = 30
15 + 15 + 1 -> {1,1111} = 31
All test cases passed ✅
